Major,Produce,Unit,Weight
Fiji Taro,Fiji Taro,Basket,6.01
Fiji Taro,Fiji Taro,Net,3.85
Island Taro,Island Taro,Bundle,4.83
Island Taro,Island Taro,Each,1.78
Manioc,Manioc,Basket,9.99
Manioc,Manioc,Net,3.6
Manioc,Manioc,Pile / Heap,3.89
Kumala (Sweet potato),Kumala (Sweet potato),Basket,7.54
Kumala (Sweet potato),Kumala (Sweet potato),Net,3.38
Yam,Yam,Basket,7.25
Yam,Yam,Pile / Heap,2.95
Green Banana,Green Banana (Big type),Bunch,7.37
Green Banana,Green Banana (Big type),Ring,3.05
Green Banana,Green Banana (Small type),Bunch,1.32
Green Banana,Green Banana (Small type),Ring,2.09
Ripe Banana,Banana ripe (Big type),Bunch,4.38
Ripe Banana,Banana ripe (Big type),Ring / Tier,4.1
Ripe Banana,Banana ripe (Small type),Bunch,2.51
Ripe Banana,Banana ripe (Small type),Ring / Tier,1.48
Pawpaw,Pawpaw,Each,1.71
Water melon,Water melon,Each,6.53
Bowl Cabbage (White),Bowl Cabbage (White),Each,1.47
Bowl Cabbage (White),Bowl Cabbage (White),Basket,
Bowl Cabbage (White),Bowl Cabbage (White),20 kg bag,
Bowl Cabbage (White),Bowl Cabbage (White),flour bag,
Bowl Cabbage (Purple),Bowl Cabbage (Purple),Each,0.85
Bowl Cabbage (Purple),Bowl Cabbage (Purple),Basket,
Bowl Cabbage (Purple),Bowl Cabbage (Purple),20 kg bag,
Bowl Cabbage (Purple),Bowl Cabbage (Purple),flour bag,
Carrot,Carrot,Each,0.75
Chinese Cabbage,Chinese Cabbage,Bundle,1.52
Chinese Cabbage,Chinese Cabbage,Basket,
Chinese Cabbage,Chinese Cabbage,20 kg bag,
Chinese Cabbage,Chinese Cabbage,flour bag,
Cucumber,Cucumber,Each,0.59
Cucumber,Cucumber,Net,
Cucumber,Cucumber,Basket,
Cucumber,Cucumber,20 kg bag,
Cucumber,Cucumber,flour bag,
Pumpkin,Pumpkin,Each,2.75
Island Cabbage,Island Cabbage,Bundle,0.84
Island Cabbage,Island Cabbage,Basket,
Island Cabbage,Island Cabbage,20 kg bag,
Island Cabbage,Island Cabbage,flour bag,
Lettuce,Lettuce,Each,0.36
Lettuce,Lettuce,Bundle,0.86
Tomato,Tomato,Each,0.28
Tomato,Tomato (Small type),Net,1.16
Tomato,Tomato (Big type),Net,0.74
Dry Coconut,Dry Coconut,Bundle,4.86
Dry Coconut,Dry Coconut,flour bag,
Green Coconut,Green coconut,Each,0.85
