interview__key	interview__id	Vegetable_roster__id	vegetable_measure__1	vegetable_measure__2	vegetable_measure__3	vegetable_measure__4	vegetable_measure__5	vegetable_measure__6
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	1	0	1	0	0	0	0
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	4	0	0	0	0	1	0
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	7	0	0	0	0	1	0
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	8	0	1	0	0	1	0
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	9	1	0	0	0	0	0
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	12	1	0	0	0	0	0
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	3	0	0	0	0	1	0
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	6	0	1	0	0	0	0
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	12	1	0	0	0	0	0
50-92-03-59	25ab416f8f1a494ba2c73363519bc4aa	6	0	1	0	0	0	0
68-39-40-28	5f0ec436f96c43299ee2de55eead4bed	6	0	1	0	0	0	0
65-85-21-58	5050f7a4c4f24c48adcfb372af013cea	6	0	1	0	0	0	0
65-85-21-58	5050f7a4c4f24c48adcfb372af013cea	8	1	0	0	0	0	0
49-97-80-93	d53c5445306e4e24adecfcc51c165ffc	1	0	1	0	0	0	0
49-97-80-93	d53c5445306e4e24adecfcc51c165ffc	9	1	0	0	0	0	0
49-97-80-93	d53c5445306e4e24adecfcc51c165ffc	12	1	0	0	0	0	0
49-97-80-93	d53c5445306e4e24adecfcc51c165ffc	15	1	0	0	0	0	0
76-17-26-43	71cdb7dafa6942b5a6b10d4d89b114ed	5	0	1	0	0	0	0
76-17-26-43	71cdb7dafa6942b5a6b10d4d89b114ed	6	0	1	0	0	0	0
76-17-26-43	71cdb7dafa6942b5a6b10d4d89b114ed	9	1	1	0	0	0	0
76-17-26-43	71cdb7dafa6942b5a6b10d4d89b114ed	12	1	0	0	0	0	0
76-17-26-43	71cdb7dafa6942b5a6b10d4d89b114ed	14	1	0	0	0	0	0
85-94-53-33	c05d97ad1b7248ac8f294f9c591c0a31	9	1	1	0	0	0	0
85-94-53-33	c05d97ad1b7248ac8f294f9c591c0a31	12	1	0	0	0	0	0
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	1	0	1	0	0	0	0
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	6	0	1	0	0	0	0
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	8	0	0	0	0	1	0
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	9	1	0	0	0	0	0
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	15	0	0	0	0	1	0
63-66-22-82	7f67d9e1760b419d857d2d291662e803	1	0	1	0	0	0	0
63-66-22-82	7f67d9e1760b419d857d2d291662e803	5	0	1	0	0	0	0
63-66-22-82	7f67d9e1760b419d857d2d291662e803	12	1	0	0	0	0	0
05-41-23-85	7bde9d1ccb9f4ad8aa77409da35ea706	5	0	1	0	0	0	0
06-33-08-11	d7df42f9185344c7b4fcd62e274e6951	9	1	0	0	0	0	0
06-33-08-11	d7df42f9185344c7b4fcd62e274e6951	13	1	0	0	0	0	0
06-33-08-11	d7df42f9185344c7b4fcd62e274e6951	14	1	0	0	0	0	0
20-25-44-09	ec74d92bc3804d3faab97ab44705fa63	4	0	0	0	0	1	0
20-25-44-09	ec74d92bc3804d3faab97ab44705fa63	8	0	0	0	0	1	0
