interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:01:11	12	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:01:11	0	ms_int20	1	ms2_sup1	2
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:01:11	20	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:01:11	1	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:01:12	14	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:11:15	15	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:11:22	14	ms_int20	1	ms_int20	1
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:15:42	3	ms_int20	1	ms2_sup1	2
74-61-56-35	84acbe5d3b67440aa8c72dd616a93403	2021-09-10	00:15:42	15	ms_int20	1	ms_int20	1
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:01:28	12	ms_int8	1	ms_int8	1
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:01:28	0	ms_int8	1	ms2_sup1	2
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:01:28	20	ms_int8	1	ms_int8	1
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:01:28	1	ms_int8	1	ms_int8	1
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:01:28	14	ms_int8	1	ms_int8	1
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:09:55	3	ms_int8	1	ms2_sup1	2
84-16-35-34	a1405aeaeae44c09a6e44be9e123c2b8	2021-09-23	01:09:55	15	ms_int8	1	ms_int8	1
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:13:30	12	ms_int8	1	ms_int8	1
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:13:30	0	ms_int8	1	ms2_sup1	2
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:13:30	20	ms_int8	1	ms_int8	1
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:13:30	1	ms_int8	1	ms_int8	1
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:13:31	14	ms_int8	1	ms_int8	1
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:18:57	3	ms_int8	1	ms2_sup1	2
94-57-50-58	695a592213394918846aed2d43f28c09	2021-09-23	01:18:57	15	ms_int8	1	ms_int8	1
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:10:02	12	ms_int8	1	ms_int8	1
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:10:02	0	ms_int8	1	ms2_sup1	2
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:10:02	20	ms_int8	1	ms_int8	1
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:10:02	1	ms_int8	1	ms_int8	1
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:10:04	14	ms_int8	1	ms_int8	1
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:13:16	3	ms_int8	1	ms2_sup1	2
03-83-60-47	edcfbd34e8a247378ee7a26728d83ca6	2021-09-23	01:13:16	15	ms_int8	1	ms_int8	1
77-60-86-68	0c1f1af592cc4fbc9d8a820e24b277c7	2021-09-23	01:24:27	12	ms_int8	1	ms_int8	1
77-60-86-68	0c1f1af592cc4fbc9d8a820e24b277c7	2021-09-23	01:24:27	0	ms_int8	1	ms2_sup1	2
77-60-86-68	0c1f1af592cc4fbc9d8a820e24b277c7	2021-09-23	01:24:27	20	ms_int8	1	ms_int8	1
