interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
09-44-99-69	00cd28b45ed749708cb64f24a2e9ddc4	100	ms_int2	1	0	0	0	0	00.00:02:46	0
40-34-74-44	01425d69f18d4c7498909bd31a173e4a	130	ms_int7	1	0	0	0	0	00.00:02:41	0
67-74-77-21	037214d484a14e108e18f367509cb641	100	ms_int20	1	0	0	0	0	00.00:06:25	1
04-29-17-40	03742d171df84a4f952a621a5587d46f	100	ms_int3	1	0	0	0	0	00.00:04:50	1
81-55-08-73	04b0e242d3e6455dbedbec4e0f8f2216	100	ms_int8	1	0	0	0	0	00.00:02:08	1
44-88-05-93	075438457b8840b49c55242892cfe285	100	ms_int4	1	0	0	0	0	00.00:02:44	0
78-05-26-16	07d392e2a76d4eca8948dc2e42ac8de4	100	ms_int21	1	0	0	0	0	00.00:01:24	0
77-60-86-68	0c1f1af592cc4fbc9d8a820e24b277c7	100	ms_int8	1	0	0	0	0	00.00:02:36	3
13-43-41-81	0c7f371600d049ee80d920ff8f836a22	100	ms_int4	1	0	0	0	0	00.00:02:36	0
90-04-65-85	0fb53a19bdf74f53ae0610b944f93003	100	ms_int2	1	0	0	0	0	00.00:01:18	0
92-88-53-77	1046512749af4b69b4234d285bbfe68c	100	ms_int7	1	0	0	0	0	00.00:01:43	0
47-58-81-78	104c25b1dfbb423ab8a7fb4b18dd9b4d	100	ms_int2	1	0	0	0	0	00.00:03:16	0
03-51-30-38	114c618ba3424ef49aba6a5127392c6a	100	ms_int2	1	0	0	0	0	00.00:04:21	0
93-77-21-79	11be6885f3134b2ba8c5ed00b14bed20	100	ms_int21	1	0	0	0	0	00.00:05:08	0
64-59-96-63	141c293c702c4ef8853507df46dfb12c	100	ms_int21	1	0	0	0	0	00.00:01:34	0
72-26-89-48	1538112535d94163952c7253701dc114	100	ms_int2	1	0	0	0	0	00.00:03:27	0
00-24-79-05	176ba03c3d4e4bb09034d08c003f7aad	100	ms_int4	1	0	0	0	0	00.00:04:40	0
76-53-51-68	1c2539176cf847aea8b8eff78500cc51	100	ms_int4	1	0	0	0	0	00.00:03:39	0
12-28-68-21	1c53d44f1078413eb49a44ff181d8f0d	100	ms_int20	1	0	0	0	0	00.00:07:53	0
77-63-32-38	20067e73af5b45b6abe1bc2e3fe20d15	100	ms_int2	1	0	0	0	0	00.00:01:00	0
99-15-71-01	21af1a17c7d24b2f8ba8ad3c3afb55b2	100	ms_int21	1	0	0	0	0	00.00:02:02	0
66-18-15-69	2229d8b0b9f049e59938da57cbec81d8	100	ms_int2	1	0	0	0	0	00.00:02:49	0
50-92-03-59	25ab416f8f1a494ba2c73363519bc4aa	100	ms_int8	1	0	0	0	0	00.00:02:50	1
33-82-16-97	28218dc5e7994ad6b81f1f0750fdca45	100	ms_int7	1	0	0	0	0	00.00:02:28	0
