interview__key	interview__id	staple_roster__id	staple_food	staple_quantity	stable_measure
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	1	Green Banana Big Type	1	4
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	1	Sweet Potatoe	5	3
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2	Green Banana Big Type	4	5
76-45-49-45	433a8e0740e4428b92ca4f5462218623	1	Dried Coconut	1	1
73-37-73-03	46aad3439e0748f5b0da96ace0dbbd9c	1	Sweet Potatoe	2	3
54-70-05-08	667d3dba4c2e4eaba7b526f6229f7652	1	Dried Coconut	1	1
57-79-42-03	6888233037bb4e8fb60550266b8ac6cd	1	Green Banana Big Type	3	4
57-79-42-03	6888233037bb4e8fb60550266b8ac6cd	2	Green Banana Big Type	6	5
89-22-95-09	6d35ab57651c41879bf9ccea41da7aff	1	Green Banana Small Type	7	5
47-68-08-20	8672c48bf2dc41ea8db28a6629c3cb31	1	Green Banana Big Type	3	4
71-42-82-94	d8fc97ba44f14110b68d9ba2f3135d3e	1	Green Banana Small Type	4	5
80-61-60-15	e4f14de24b144eeb95b5034315b5e617	1	Sweet Potatoe	3	3
35-36-21-64	d9eff348d15e4513b89dd68c4779dc10	1	Sweet Potatoe	10	3
35-36-21-64	d9eff348d15e4513b89dd68c4779dc10	2	Green Banana Big Type	1	5
21-39-16-76	ed3b41514a7e46d3a80f71bdf9e66304	1	Fiji Taro	2	2
21-39-16-76	ed3b41514a7e46d3a80f71bdf9e66304	2	Dried Coconut	1	1
43-77-88-61	f1ff5a6bc1124f4d9603a4ae36b12480	1	Green Banana Big Type	2	4
43-77-88-61	f1ff5a6bc1124f4d9603a4ae36b12480	2	Green Banana Small Type	3	5
