interview__key	interview__id	vegis_roster__id	vegetable_code	veg_measure_type__2	veg_measure_type__3	veg_measure_type__4
01-62-89-89	51a387b17f594f22913e762fff5f61c1	1	-999999999	0	1	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	5	-999999999	0	1	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	6	-999999999	0	1	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	7	-999999999	0	0	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	10	-999999999	1	0	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	13	-999999999	1	0	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	14	-999999999	1	0	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	15	-999999999	1	0	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	1	-999999999	0	1	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	4	-999999999	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	5	-999999999	0	1	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	6	-999999999	0	1	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	7	-999999999	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	10	-999999999	1	0	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	13	-999999999	1	0	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	14	-999999999	1	0	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	15	-999999999	1	0	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	16	-999999999	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	5	-999999999	0	1	0
83-79-20-78	87261c7ca5364d66a4362186bcf74705	7	-999999999	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	10	-999999999	1	0	0
83-79-20-78	87261c7ca5364d66a4362186bcf74705	13	-999999999	1	0	0
