interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	2019-04-24	08:15:29	12	remah_i	Interviewer	remah_i	Interviewer
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	2019-04-24	08:15:29	0	remah_i	Interviewer	mike_s	Supervisor
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	2019-04-24	08:15:29	1	remah_i	Interviewer	remah_i	Interviewer
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	2019-04-24	08:15:39	2	remah_i	Interviewer	remah_i	Interviewer
60-91-90-63	0390949c6d8a49bbbfa74c4c015f2d6e	2019-04-24	08:18:42	3	remah_i	Interviewer	mike_s	Supervisor
61-59-94-40	154f079b62da4c86bf948e0588242b82	2019-04-24	08:11:34	12	remah_i	Interviewer	remah_i	Interviewer
61-59-94-40	154f079b62da4c86bf948e0588242b82	2019-04-24	08:11:34	0	remah_i	Interviewer	mike_s	Supervisor
61-59-94-40	154f079b62da4c86bf948e0588242b82	2019-04-24	08:11:34	1	remah_i	Interviewer	remah_i	Interviewer
61-59-94-40	154f079b62da4c86bf948e0588242b82	2019-04-24	08:12:12	2	remah_i	Interviewer	remah_i	Interviewer
61-59-94-40	154f079b62da4c86bf948e0588242b82	2019-04-24	08:15:25	3	remah_i	Interviewer	mike_s	Supervisor
17-39-74-72	1edf6d08394f48959fa2d3ae71e928d1	2019-04-24	05:25:09	12	remah_i	Interviewer	remah_i	Interviewer
17-39-74-72	1edf6d08394f48959fa2d3ae71e928d1	2019-04-24	05:25:09	0	remah_i	Interviewer	mike_s	Supervisor
17-39-74-72	1edf6d08394f48959fa2d3ae71e928d1	2019-04-24	05:25:09	1	remah_i	Interviewer	remah_i	Interviewer
17-39-74-72	1edf6d08394f48959fa2d3ae71e928d1	2019-04-24	05:25:13	2	remah_i	Interviewer	remah_i	Interviewer
17-39-74-72	1edf6d08394f48959fa2d3ae71e928d1	2019-04-24	05:28:43	3	remah_i	Interviewer	mike_s	Supervisor
98-34-37-88	3250329722814076b137681714dfcaf8	2019-04-24	19:21:46	12	remah_i	Interviewer	remah_i	Interviewer
98-34-37-88	3250329722814076b137681714dfcaf8	2019-04-24	19:21:46	0	remah_i	Interviewer	mike_s	Supervisor
98-34-37-88	3250329722814076b137681714dfcaf8	2019-04-24	19:21:46	1	remah_i	Interviewer	remah_i	Interviewer
98-34-37-88	3250329722814076b137681714dfcaf8	2019-04-24	19:21:54	2	remah_i	Interviewer	remah_i	Interviewer
98-34-37-88	3250329722814076b137681714dfcaf8	2019-04-24	19:25:24	3	remah_i	Interviewer	mike_s	Supervisor
91-75-16-13	3ad052f1177944b09139ebe5ceb52c54	2019-04-24	07:56:08	12	remah_i	Interviewer	remah_i	Interviewer
91-75-16-13	3ad052f1177944b09139ebe5ceb52c54	2019-04-24	07:56:08	0	remah_i	Interviewer	mike_s	Supervisor
91-75-16-13	3ad052f1177944b09139ebe5ceb52c54	2019-04-24	07:56:08	1	remah_i	Interviewer	remah_i	Interviewer
91-75-16-13	3ad052f1177944b09139ebe5ceb52c54	2019-04-24	07:56:20	2	remah_i	Interviewer	remah_i	Interviewer
91-75-16-13	3ad052f1177944b09139ebe5ceb52c54	2019-04-24	08:01:01	3	remah_i	Interviewer	mike_s	Supervisor
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	04:44:32	12	remah_i	Interviewer	remah_i	Interviewer
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	04:44:32	0	remah_i	Interviewer	mike_s	Supervisor
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	04:44:32	1	remah_i	Interviewer	remah_i	Interviewer
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	04:45:11	2	remah_i	Interviewer	remah_i	Interviewer
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	05:01:46	3	remah_i	Interviewer	mike_s	Supervisor
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	05:08:41	4	remah_i	Interviewer	remah_i	Interviewer
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	05:08:41	14	remah_i	Interviewer	remah_i	Interviewer
95-87-16-20	3c30c0fc551646218b1b79dbc1686a5b	2019-04-24	05:09:38	3	remah_i	Interviewer	mike_s	Supervisor
49-58-01-82	3c5e9348f7b54e08b8bb63e659734c35	2019-04-24	06:20:35	12	remah_i	Interviewer	remah_i	Interviewer
49-58-01-82	3c5e9348f7b54e08b8bb63e659734c35	2019-04-24	06:20:35	0	remah_i	Interviewer	mike_s	Supervisor
49-58-01-82	3c5e9348f7b54e08b8bb63e659734c35	2019-04-24	06:20:35	1	remah_i	Interviewer	remah_i	Interviewer
49-58-01-82	3c5e9348f7b54e08b8bb63e659734c35	2019-04-24	06:20:38	2	remah_i	Interviewer	remah_i	Interviewer
49-58-01-82	3c5e9348f7b54e08b8bb63e659734c35	2019-04-24	06:22:32	3	remah_i	Interviewer	mike_s	Supervisor
84-61-21-19	3d6ed684932c4b90b07384a87f00b9cc	2019-04-23	22:54:06	12	remah_i	Interviewer	remah_i	Interviewer
84-61-21-19	3d6ed684932c4b90b07384a87f00b9cc	2019-04-23	22:54:06	0	remah_i	Interviewer	mike_s	Supervisor
84-61-21-19	3d6ed684932c4b90b07384a87f00b9cc	2019-04-23	22:54:06	1	remah_i	Interviewer	remah_i	Interviewer
