interview__key	interview__id	fruits_roster__id	fruit_code	F_measure_type__1	F_measure_type__2	F_measure_type__3	F_measure_type__4
01-62-89-89	51a387b17f594f22913e762fff5f61c1	1	-999999999	0	0	1	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2	-999999999	0	1	0	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	3	-999999999	0	0	0	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	4	-999999999	0	0	0	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	5	-999999999	0	0	0	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	6	-999999999	1	0	0	0
01-62-89-89	51a387b17f594f22913e762fff5f61c1	8	-999999999	0	0	0	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	9	-999999999	0	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	1	-999999999	0	0	1	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2	-999999999	0	0	1	0
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	3	-999999999	0	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	4	-999999999	0	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	5	-999999999	0	0	0	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	6	-999999999	1	0	0	0
83-79-20-78	87261c7ca5364d66a4362186bcf74705	1	-999999999	-999999999	-999999999	-999999999	-999999999
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2	-999999999	0	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	3	-999999999	0	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	4	-999999999	0	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	5	-999999999	0	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	6	-999999999	1	0	0	0
83-79-20-78	87261c7ca5364d66a4362186bcf74705	7	-999999999	0	0	0	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	8	-999999999	-999999999	-999999999	-999999999	-999999999
83-79-20-78	87261c7ca5364d66a4362186bcf74705	9	-999999999	0	0	0	1
