interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:00:57	12	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:00:57	0	ms_int3	1	ms2_sup1	2
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:00:57	20	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:00:57	1	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:00:58	14	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:31:31	3	ms_int3	1	ms2_sup1	2
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	04:31:31	15	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	05:48:23	7	admin	4	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	06:10:28	14	ms_int3	1	ms_int3	1
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	06:17:31	3	ms_int3	1	ms2_sup1	2
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2022-01-20	06:17:31	15	ms_int3	1	ms_int3	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:14:43	12	ms_int3	1	ms_int3	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:14:43	0	ms_int3	1	ms2_sup1	2
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:14:43	20	ms_int3	1	ms_int3	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:14:43	1	ms_int3	1	ms_int3	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:14:44	14	ms_int3	1	ms_int3	1
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:45:51	3	ms_int3	1	ms2_sup1	2
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2022-01-20	05:45:51	15	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:36:02	12	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:36:02	0	ms_int3	1	ms2_sup1	2
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:36:03	20	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:36:02	1	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:36:05	14	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:38:28	15	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	21:38:38	14	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:17:05	15	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:17:20	14	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:21:24	15	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:21:24	14	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:26:48	15	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:26:53	14	ms_int3	1	ms_int3	1
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:27:35	3	ms_int3	1	ms2_sup1	2
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2022-01-27	22:27:35	15	ms_int3	1	ms_int3	1
