assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
6	2021-07-26	16:47:09	1	admin	4	ms2_int1	1			
6	2021-07-26	16:47:09	8	admin	4	ms2_int1	1		-1	
6	2021-07-26	16:47:09	9	admin	4	ms2_int1	1		0	
6	2021-07-26	16:47:09	6	admin	4	ms2_int1	1		0	
6	2021-07-26	16:47:42	4	ms2_int1	1	ms2_int1	1			
9	2021-07-27	11:45:58	1	admin	4	ms_int4	1			
9	2021-07-27	11:45:58	8	admin	4	ms_int4	1		-1	
9	2021-07-27	11:45:58	9	admin	4	ms_int4	1		0	
9	2021-07-27	11:45:58	6	admin	4	ms_int4	1		0	
9	2021-07-28	11:36:19	4	ms_int4	1	ms_int4	1			
11	2021-07-27	11:47:07	1	admin	4	ms_int5	1			
11	2021-07-27	11:47:07	8	admin	4	ms_int5	1		-1	
11	2021-07-27	11:47:07	9	admin	4	ms_int5	1		0	
11	2021-07-27	11:47:07	6	admin	4	ms_int5	1		0	
11	2021-07-28	11:47:44	4	ms_int5	1	ms_int5	1			
13	2021-07-27	11:48:40	1	admin	4	ms_int6	1			
13	2021-07-27	11:48:40	8	admin	4	ms_int6	1		-1	
13	2021-07-27	11:48:40	9	admin	4	ms_int6	1		0	
13	2021-07-27	11:48:40	6	admin	4	ms_int6	1		0	
13	2021-07-28	11:59:04	4	ms_int6	1	ms_int6	1			
15	2021-07-27	11:50:51	1	admin	4	ms_int7	1			
15	2021-07-27	11:50:51	8	admin	4	ms_int7	1		-1	
15	2021-07-27	11:50:51	9	admin	4	ms_int7	1		0	
15	2021-07-27	11:50:51	6	admin	4	ms_int7	1		0	
15	2021-07-28	12:46:40	4	ms_int7	1	ms_int7	1			
17	2021-07-27	11:51:51	1	admin	4	ms_int8	1			
17	2021-07-27	11:51:51	8	admin	4	ms_int8	1		-1	
17	2021-07-27	11:51:51	9	admin	4	ms_int8	1		0	
17	2021-07-27	11:51:51	6	admin	4	ms_int8	1		0	
17	2021-07-28	13:13:01	4	ms_int8	1	ms_int8	1			
19	2021-07-27	11:52:41	1	admin	4	ms_int9	1			
19	2021-07-27	11:52:41	8	admin	4	ms_int9	1		-1	
19	2021-07-27	11:52:41	9	admin	4	ms_int9	1		0	
19	2021-07-27	11:52:41	6	admin	4	ms_int9	1		0	
19	2021-07-28	13:14:30	4	ms_int9	1	ms_int9	1			
20	2021-07-28	10:39:33	1	admin	4	ms_int10	1			
20	2021-07-28	10:39:33	8	admin	4	ms_int10	1		-1	
20	2021-07-28	10:39:33	9	admin	4	ms_int10	1		0	
20	2021-07-28	10:39:33	6	admin	4	ms_int10	1		0	
20	2021-07-28	13:18:10	4	ms_int10	1	ms_int10	1			
22	2021-07-28	10:40:03	1	admin	4	ms_int11	1			
22	2021-07-28	10:40:03	8	admin	4	ms_int11	1		-1	
22	2021-07-28	10:40:03	9	admin	4	ms_int11	1		0	
22	2021-07-28	10:40:03	6	admin	4	ms_int11	1		0	
22	2021-07-28	13:20:56	4	ms_int11	1	ms_int11	1			
24	2021-07-28	10:40:36	1	admin	4	ms_int12	1			
24	2021-07-28	10:40:36	8	admin	4	ms_int12	1		-1	
24	2021-07-28	10:40:36	9	admin	4	ms_int12	1		0	
24	2021-07-28	10:40:36	6	admin	4	ms_int12	1		0	
24	2021-07-28	10:41:19	4	ms_int12	1	ms_int12	1			
