interview__key	interview__id	root_crop_roster__id	measurement_rootcrop__id	staple_price1	staple_wieght1	staple_price2	staple_wieght2	staple_price3	staple_wieght3	staple_price4	staple_wieght4	staple_price5	staple_wieght5
01-62-89-89	51a387b17f594f22913e762fff5f61c1	1	1	600	6.2	600	6.3	600	6.31	600	6.36	600	7.3
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2	3	600	8.31	600	8.41	600	8.56	600	8.61	600	8.63
01-62-89-89	51a387b17f594f22913e762fff5f61c1	2	4	500	2.39	500	1.97	500	2.36	500	2.33	500	1.97
01-62-89-89	51a387b17f594f22913e762fff5f61c1	3	1	500	10.81	500	10.8	500	10.86	500	7.89	500	7.82
01-62-89-89	51a387b17f594f22913e762fff5f61c1	4	1	500	8.26	500	8.28	500	8.3	500	8.23	500	8.31
01-62-89-89	51a387b17f594f22913e762fff5f61c1	5	1	2500	15.63	2500	16.11	2500	17.12	-999999999	-999999999	-999999999	-999999999
01-62-89-89	51a387b17f594f22913e762fff5f61c1	6	6	500	7.44	600	8.1	500	7.48	500	7.68	300	5.29
01-62-89-89	51a387b17f594f22913e762fff5f61c1	8	3	250	5.6	250	5.58	250	5.56	250	5.61	250	5.58
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	1	1	700	8.41	700	9.46	700	8.56	700	9.31	700	9.35
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	2	3	700	5.25	700	5.64	700	5.56	700	5.54	700	5.64
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	3	1	500	10.38	500	9.42	500	9.58	500	10.25	500	10.39
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	4	1	500	6.14	500	6.46	500	6.35	500	6.47	500	6.43
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	5	1	2000	10.44	1000	7.28	1000	7.3	2000	10.5	2000	10.46
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	6	6	500	7.08	500	6.91	1000	9.85	500	7.1	700	8.21
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	6	7	200	2.54	200	2.85	200	2.65	200	2.63	200	2.82
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	7	6	400	7.28	500	8.15	400	7.26	400	7.3	500	8.12
48-26-47-90	95a96c2a85ba4adba67d7abb5c915196	8	3	300	5.52	300	5.5	300	5.61	300	5.18	300	5.2
83-79-20-78	87261c7ca5364d66a4362186bcf74705	1	1	500	6.66	500	6.42	500	5.71	500	6.56	500	6.82
83-79-20-78	87261c7ca5364d66a4362186bcf74705	2	3	500	4.71	500	4.23	500	4.41	500	6.31	500	6.37
83-79-20-78	87261c7ca5364d66a4362186bcf74705	3	1	500	6.21	400	6.56	300	5.37	300	5.21	300	5.26
83-79-20-78	87261c7ca5364d66a4362186bcf74705	4	1	500	4.68	500	4.11	500	4.57	500	4.34	500	4.51
83-79-20-78	87261c7ca5364d66a4362186bcf74705	5	1	1000	9.1	600	4.69	800	8.57	700	8.57	1000	9.21
83-79-20-78	87261c7ca5364d66a4362186bcf74705	6	3	300	4.71	500	6.21	500	6.11	500	6.25	500	6.45
83-79-20-78	87261c7ca5364d66a4362186bcf74705	7	3	200	4.21	200	4.51	200	4.57	300	5.61	300	5.52
83-79-20-78	87261c7ca5364d66a4362186bcf74705	8	3	100	4.67	100	4.62	100	4.44	100	4.67	100	4.52
